Year	Region	Area	Commodity	Type	Revenue
2007	Gulf	Western Gulf of Mexico	Gas	Royalties	575651671.73
2007	Gulf	Western Gulf of Mexico	NGL	Royalties	27011533.01
2007	Gulf	Western Gulf of Mexico	Oil	Royalties	429994679.93
2008	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	-2060710.85
2008	Gulf	Western Gulf of Mexico	Gas	Royalties	602756261.13
2008	Gulf	Western Gulf of Mexico	NGL	Royalties	36810352.58
2008	Gulf	Western Gulf of Mexico	Oil	Royalties	492873067.70
2009	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	-4694391.59
2009	Gulf	Western Gulf of Mexico	Gas	Royalties	-10412797.45
2009	Gulf	Western Gulf of Mexico	NGL	Royalties	14957792.72
2009	Gulf	Western Gulf of Mexico	Oil	Royalties	258599437.49
2010	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	17053433.63
2010	Gulf	Western Gulf of Mexico	Gas	Royalties	176338001.23
2010	Gulf	Western Gulf of Mexico	NGL	Royalties	41242431.62
2010	Gulf	Western Gulf of Mexico	Oil	Royalties	395309389.00
2011	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	11194595.51
2011	Gulf	Western Gulf of Mexico	Gas	Royalties	171498300.68
2011	Gulf	Western Gulf of Mexico	NGL	Royalties	53193144.69
2011	Gulf	Western Gulf of Mexico	Oil	Royalties	564325363.60
2012	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	9792465.57
2012	Gulf	Western Gulf of Mexico	Gas	Royalties	83237470.94
2012	Gulf	Western Gulf of Mexico	NGL	Royalties	40627039.48
2012	Gulf	Western Gulf of Mexico	Oil	Royalties	642444563.19
2013	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	3441219.82
2013	Gulf	Western Gulf of Mexico	Gas	Royalties	92564701.63
2013	Gulf	Western Gulf of Mexico	NGL	Royalties	30480779.05
2013	Gulf	Western Gulf of Mexico	Oil	Royalties	577395045.98
2007	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	264527896.00
2007	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	93171924.13
2008	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	92307173.12
2008	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	257788571.80
2009	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	358758653.20
2009	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	88097391.50
2010	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	1350430.00
2010	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	76022581.43
2011	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	68624505.29
2012	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	324971001.00
2012	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	78549380.79
2013	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	79537910.46
2006	Gulf	Central Gulf of Mexico	Oil & Gas	Royalties	-3.76
2004	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	169928999.00
2004	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	91562264.50
2005	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	80054499.50
2006	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	615392739.00
2006	Gulf	Western Gulf of Mexico	Oil & Gas	Rents	110387832.71
2013	Gulf	Western Gulf of Mexico	Oil & Gas	Bonus	233906420.00
2004	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	630911.06
2004	Gulf	Western Gulf of Mexico	Oil	Other Royalties	-183608.54
2005	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	138484.84
2005	Gulf	Western Gulf of Mexico	Oil	Other Royalties	1709735.47
2005	Gulf	Western Gulf of Mexico	Oil & Gas	Other Royalties	3926747.51
2006	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	1119627.47
2006	Gulf	Western Gulf of Mexico	Oil	Other Royalties	6117207.08
2007	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	696419.26
2007	Gulf	Western Gulf of Mexico	Oil	Other Royalties	5328037.31
2008	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	425642.51
2008	Gulf	Western Gulf of Mexico	Oil	Other Royalties	5783321.30
2009	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	-277985.01
2009	Gulf	Western Gulf of Mexico	Oil	Other Royalties	3643834.10
2010	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	-4088045.11
2010	Gulf	Western Gulf of Mexico	Oil	Other Royalties	-243846.46
2011	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	326366.48
2011	Gulf	Western Gulf of Mexico	Oil	Other Royalties	1109430.53
2012	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	352502.22
2012	Gulf	Western Gulf of Mexico	Oil	Other Royalties	-103378.68
2013	Gulf	Western Gulf of Mexico	Oil & Gas	Other Revenues	174033.51
2013	Gulf	Western Gulf of Mexico	NGL	Other Royalties	-6604.26
2013	Gulf	Western Gulf of Mexico	Oil	Other Royalties	263486.11
2011	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	36751111.00
2012	Gulf	Western Gulf of Mexico	NGL	Other Royalties	690909.72
2004	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	6527035.22
2005	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	6407477.71
2007	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	6081576.99
2007	Gulf	Eastern Gulf of Mexico	Gas	Royalties	19787073.23
2008	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	3239483.00
2008	Gulf	Eastern Gulf of Mexico	Gas	Royalties	142789916.11
2008	Gulf	Eastern Gulf of Mexico	Oil	Royalties	634391.56
2009	Gulf	Eastern Gulf of Mexico	Gas	Royalties	91932610.76
2009	Gulf	Eastern Gulf of Mexico	Oil	Royalties	414863.03
2010	Gulf	Eastern Gulf of Mexico	Gas	Royalties	-21132146.59
2010	Gulf	Eastern Gulf of Mexico	Oil	Royalties	367915.08
2011	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-1516719.12
2011	Gulf	Eastern Gulf of Mexico	Gas	Royalties	51926029.97
2011	Gulf	Eastern Gulf of Mexico	Oil	Royalties	532049.12
2012	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	247058.92
2012	Gulf	Eastern Gulf of Mexico	Gas	Royalties	12893891.33
2012	Gulf	Eastern Gulf of Mexico	Oil	Royalties	82873.65
2013	Gulf	Eastern Gulf of Mexico	Oil	Royalties	106605.03
2005	Gulf	Eastern Gulf of Mexico	Oil & Gas	Bonus	6501059.00
2006	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	5239051.91
2007	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	51840.00
2007	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	5269617.00
2008	Gulf	Eastern Gulf of Mexico	Oil & Gas	Bonus	64713213.00
2008	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	7247395.31
2009	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-2860100.00
2009	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	4133862.51
2010	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-1609225.50
2010	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	6081889.60
2011	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	43200.00
2011	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	5585508.97
2012	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	5945421.54
2013	Gulf	Eastern Gulf of Mexico	Oil & Gas	Rents	3385930.62
2013	Gulf	Eastern Gulf of Mexico	Gas	Royalties	9061317.16
2004	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	399000.00
2004	Gulf	Eastern Gulf of Mexico	Gas	Royalties	24450785.46
2005	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-363000.00
2005	Gulf	Eastern Gulf of Mexico	Gas	Royalties	1360695.88
2006	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-47000.00
2006	Gulf	Eastern Gulf of Mexico	Gas	Royalties	-385946.97
2012	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-216433.33
2013	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Royalties	-325230.38
2010	Gulf	Eastern Gulf of Mexico	Oil & Gas	Bonus	-3335504.99
2004	Gulf	Eastern Gulf of Mexico	Oil & Gas	Bonus	8376765.00
2004	Gulf	Eastern Gulf of Mexico	NGL	Royalties	113124.27
2004	Gulf	Eastern Gulf of Mexico	Oil	Royalties	5227.72
2005	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	17280.00
2005	Gulf	Eastern Gulf of Mexico	NGL	Royalties	7886.65
2005	Gulf	Eastern Gulf of Mexico	Oil	Royalties	95933.45
2006	Gulf	Eastern Gulf of Mexico	NGL	Royalties	-2712.45
2006	Gulf	Eastern Gulf of Mexico	Oil	Royalties	1737.22
2007	Gulf	Eastern Gulf of Mexico	NGL	Royalties	-1383.33
2007	Gulf	Eastern Gulf of Mexico	Oil	Royalties	-932.55
2008	Gulf	Eastern Gulf of Mexico	NGL	Royalties	-1278.34
2010	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	17280.00
2011	Gulf	Eastern Gulf of Mexico	Oil	Other Royalties	4989.28
2012	Gulf	Eastern Gulf of Mexico	Oil	Other Royalties	959.06
2013	Gulf	Eastern Gulf of Mexico	Oil & Gas	Other Revenues	110863.46
2013	Gulf	Western Gulf of Mexico	Gas	Other Royalties	3470.44
2011	Gulf	Western Gulf of Mexico	NGL	Other Royalties	34181.25
2007	Gulf	Western Gulf of Mexico	Gas	Other Royalties	-132.25
2004	Alaska	Beaufort Sea	Oil & Gas	Bonus	8034909.00
2004	Alaska	Beaufort Sea	Oil & Gas	Rents	1092381.00
2004	Alaska	Beaufort Sea	Oil	Royalties	29343329.28
2004	Gulf		Oil & Gas	Other Royalties	0.01
2004	Gulf		Gas	Royalties	-28132646.40
2004	Pacific	Southern California	Oil & Gas	Other Revenues	93803.38
2004	Pacific	Southern California	Oil	Other Royalties	-8334737.47
2004	Pacific	Southern California	Oil & Gas	Other Royalties	8480874.29
2004	Pacific	Southern California	Oil & Gas	Rents	-49972.00
2004	Pacific	Southern California	Gas	Royalties	27046120.62
2004	Pacific	Southern California	NGL	Royalties	1474229.94
2004	Pacific	Southern California	Oil	Royalties	135196750.29
2004	Pacific	Southern California	Other	Royalties	14209.63
2005	Alaska	Beaufort Sea	Oil & Gas	Bonus	46509729.00
2005	Alaska	Beaufort Sea	Oil & Gas	Rents	1878656.75
2005	Alaska	Beaufort Sea	Oil	Royalties	34471667.71
2005	Gulf		Gas	Royalties	-19340329.42
2005	Pacific	Southern California	Oil & Gas	Other Revenues	102618.90
2005	Pacific	Southern California	Oil	Other Royalties	-3338166.79
2005	Pacific	Southern California	Oil & Gas	Other Royalties	-1115859.42
2005	Pacific	Southern California	Gas	Royalties	31437272.94
2005	Pacific	Southern California	NGL	Royalties	1654526.93
2005	Pacific	Southern California	Oil	Royalties	181281318.93
2005	Pacific	Southern California	Other	Royalties	14340.49
2006	Alaska	Beaufort Sea	Oil & Gas	Rents	1877683.25
2006	Alaska	Beaufort Sea	Oil	Royalties	40580284.16
2006	Gulf		Gas	Royalties	-10622983.51
2006	Pacific	Southern California	Oil & Gas	Other Revenues	77740.13
2006	Pacific	Southern California	Oil	Other Royalties	-105925.47
2006	Pacific	Southern California	Oil & Gas	Other Royalties	-53406.48
2006	Pacific	Southern California	Gas	Royalties	31785770.08
2006	Pacific	Southern California	NGL	Royalties	841056.77
2006	Pacific	Southern California	Oil	Royalties	217517813.87
2006	Pacific	Southern California	Other	Royalties	6303.03
2007	Alaska	Beaufort Sea	Oil & Gas	Bonus	41980133.00
2007	Alaska	Beaufort Sea	Oil & Gas	Rents	2743548.00
2007	Alaska	Beaufort Sea	Oil	Royalties	25711421.67
2007	Gulf		Gas	Royalties	-15241002.97
2007	Pacific	Southern California	Oil & Gas	Other Revenues	69732.88
2007	Pacific	Southern California	Oil	Other Royalties	-49344.35
2007	Pacific	Southern California	Oil & Gas	Other Royalties	-166492.29
2007	Pacific	Southern California	Gas	Royalties	30262307.00
2007	Pacific	Southern California	NGL	Royalties	968529.43
2007	Pacific	Southern California	Oil	Royalties	230672111.82
