Land Category	CY	St	County Name	FIPS	Revenue Type	Commodity	Product	 Royalty/Revenue
Fed Onshore	2004	CO	Delta	08029	Bonus	Coal		" $3,787,839.92 "
Fed Onshore	2004	CO	Delta	08029	Bonus	Oil & Gas		" $303,713.77 "
Fed Onshore	2004	CO	Delta	08029	Other Revenues	Oil & Gas		" $2,280.00 "
Fed Onshore	2004	CO	Delta	08029	Rents	Coal		" $59,857.32 "
Fed Onshore	2004	CO	Delta	08029	Rents	Oil & Gas		" $149,633.72 "
Fed Onshore	2004	CO	Delta	08029	Royalties	Coal (ton)	Coal	" $3,860,270.72 "
Fed Onshore	2004	CO	Delta	08029	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $9,430.23 "
Fed Onshore	2004	CO	Delta	08029	Royalties	Oil (bbl)	Condensate	 $12.77 
Fed Onshore	2004	CO	Dolores	08033	Bonus	Oil & Gas		 $(1.36)
Fed Onshore	2004	CO	Dolores	08033	Other Revenues	Oil & Gas		" $72,731.31 "
Fed Onshore	2004	CO	Dolores	08033	Rents	Oil & Gas		" $60,733.61 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	Gas (mcf)	Processed (Residue) Gas	" $77,469.12 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $118,746.55 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	NGL (gal)	Gas Plant Products	" $16,624.77 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	Oil (bbl)	Condensate	" $2,127.66 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	Oil (bbl)	Oil	" $231,163.35 "
Fed Onshore	2004	CO	Dolores	08033	Royalties	Other Products	Carbon Dioxide Gas (CO2)	" $952,516.85 "
Fed Onshore	2004	CO	Eagle	08037	Rents	Oil & Gas		" $30,244.50 "
Fed Onshore	2004	CO	El Paso	08041	Rents	Oil & Gas		 $738.00 
Fed Onshore	2004	CO	Garfield	08045	Bonus	Coal		" $413,000.00 "
Fed Onshore	2004	CO	Garfield	08045	Bonus	Oil & Gas		" $5,698,844.52 "
Fed Onshore	2004	CO	Garfield	08045	Other Revenues	Oil & Gas		" $2,217,824.80 "
Fed Onshore	2004	CO	Garfield	08045	Rents	Coal		" $49,479.00 "
Fed Onshore	2004	CO	Garfield	08045	Rents	Oil & Gas		" $566,021.02 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Coal (ton)	Coal	" $1,171,269.69 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Coal (ton)	Coal-Bituminous-Raw	" $3,102.81 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Gas (mcf)	Coal Bed Methane	" $225,303.75 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Gas (mcf)	Processed (Residue) Gas	" $110,343.45 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $34,398,559.39 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	NGL (gal)	Gas Plant Products	" $2,694.15 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Oil (bbl)	Condensate	" $957,037.27 "
Fed Onshore	2004	CO	Garfield	08045	Royalties	Oil (bbl)	Oil	" $44,134.91 "
Fed Onshore	2004	CO	Gunnison	08051	Bonus	Coal		" $1,811,744.66 "
Fed Onshore	2004	CO	Gunnison	08051	Bonus	Oil & Gas		" $397,591.23 "
Fed Onshore	2004	CO	Gunnison	08051	Other Revenues	Oil & Gas		" $11,215.97 "
Fed Onshore	2004	CO	Gunnison	08051	Rents	Coal		" $44,967.68 "
Fed Onshore	2004	CO	Gunnison	08051	Rents	Oil & Gas		" $87,605.06 "
Fed Onshore	2004	CO	Gunnison	08051	Royalties	Coal (ton)	Coal	" $13,738,709.20 "
Fed Onshore	2004	CO	Gunnison	08051	Royalties	Coal (ton)	Coal-Bituminous-Raw	" $(2,173,166.12)"
Fed Onshore	2004	CO	Gunnison	08051	Royalties	Gas (mcf)	Processed (Residue) Gas	" $3,344.36 "
Fed Onshore	2004	CO	Gunnison	08051	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $35,366.08 "
Fed Onshore	2004	CO	Gunnison	08051	Royalties	Oil (bbl)	Condensate	 $696.78 
Fed Onshore	2004	CO	Huerfano	08055	Bonus	Oil & Gas		" $1,394.00 "
Fed Onshore	2004	CO	Huerfano	08055	Other Revenues	Oil & Gas		 $160.00 
Fed Onshore	2004	CO	Huerfano	08055	Rents	Oil & Gas		" $40,074.24 "
