Company	Revenue Type	Commodity	Revenue
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	Oil & Gas	52531
CAERUS OIL AND GAS LLC	ONRR - Royalties	Gas	1407669
CAERUS OIL AND GAS LLC	ONRR - Royalties	Oil	15471
CAERUS OIL AND GAS LLC	ONRR/BLM - Rents	Oil & Gas	31127
CALICO EXPLORATION	BLM - Permit Fees	Locatable Minerals	126909
CALPINE CORP	ONRR - Other Revenues	Geothermal	-42492
CALPINE CORP	ONRR - Royalties	Geothermal	5679733
CALPINE CORP	ONRR/BLM - Rents	Geothermal	343885
CALPORTLAND CO	BLM - Permit Fees	Locatable Minerals	109740
CALPORTLAND CO	BLM - Permit Fees	Mineral Materials	34294
CALYPSO EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	1787
CALYPSO EXPLORATION LLC	ONRR - Royalties	Gas	59656
CALYPSO EXPLORATION LLC	ONRR - Royalties	Oil	3792448
CALYPSO EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	39578
CAM MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	225965
CAMBRIAN COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	127874
CAMTERRA RESOURCES INC	BLM - Permit Fees	Oil & Gas	6390
CAMTERRA RESOURCES INC	ONRR - Other Revenues	Oil & Gas	45526
CAMTERRA RESOURCES INC	ONRR - Royalties	Gas	193344
CANO PETROLEUM OF NEW MEXICO INC	ONRR - Other Revenues	Oil & Gas	28
CANO PETROLEUM OF NEW MEXICO INC	ONRR - Royalties	Gas	638
CANO PETROLEUM OF NEW MEXICO INC	ONRR - Royalties	Oil	129751
CANTERA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	-341
CANTERA OPERATING LLC	ONRR - Royalties	Gas	492638
CANTERA OPERATING LLC	ONRR - Royalties	Oil	3225
CARBON CREEK ENERGY LLC	BLM - Permit Fees	Oil & Gas	71500
CARBON CREEK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	2108925
CARBON CREEK ENERGY LLC	ONRR - Royalties	Gas	3977305
CARLIN RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	232792
CARLIN TREND MINING SUPPLIES AND SERVICES	BLM - Permit Fees	Locatable Minerals	205598
CARRIZO OIL & GAS INC	BLM - Permit Fees	Oil & Gas	6680
CARRIZO OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	6066
CARRIZO OIL & GAS INC	ONRR - Royalties	Gas	5620
CARRIZO OIL & GAS INC	ONRR - Royalties	Oil	203659
CARRIZO OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	29861
CASILLAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	82842
CASILLAS PETROLEUM CORP	ONRR - Royalties	Gas	452851
CASILLAS PETROLEUM CORP	ONRR - Royalties	Oil	568596
CASILLAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	680
CASTEX OFFSHORE INC	ONRR - Civil Penalties	N/A	82000
CASTEX OFFSHORE INC	ONRR - Inspection Fees	Oil & Gas	167000
CASTEX OFFSHORE INC	ONRR - Other Revenues	N/A	1966
CASTEX OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	-1050872
CASTEX OFFSHORE INC	ONRR - Royalties	Gas	5514365
CASTEX OFFSHORE INC	ONRR - Royalties	Oil	5688260
CASTEX OFFSHORE INC	ONRR/BLM - Bonus	Oil & Gas	1012463
CASTEX OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	1181122
CASTLETON COMMODITIES INTERNATIONAL LLC	BLM - Permit Fees	Oil & Gas	52090
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Other Revenues	Oil & Gas	25190
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Gas	1730809
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Oil	177401
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR/BLM - Rents	Oil & Gas	47750
CATENARY COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	633175
CAZA	BLM - Permit Fees	Oil & Gas	13090
CAZA	ONRR - Other Revenues	Oil & Gas	5900
CAZA	ONRR - Royalties	Gas	130567
CAZA	ONRR - Royalties	Oil	121234
CAZA	ONRR/BLM - Rents	Oil & Gas	640
CBM GAS COMPANY LLC	ONRR - Other Revenues	Oil & Gas	228
CBM GAS COMPANY LLC	ONRR - Royalties	Gas	139755
CEMEX	BLM - Permit Fees	Locatable Minerals	101370
CEMEX	BLM - Permit Fees	Mineral Materials	526839
CENTENNIAL NATURAL RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	104928
