CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	05067	CO	La Plata	Other Revenues	Oil & Gas		 $ (480.00)
2004	Onshore	05067	CO	La Plata	Other Roy Vals	Oil & Gas		 $ 72,634.47 
2004	Onshore	05067	CO	La Plata	Royalties	Coal	Coal-Bituminous-Raw	 $ (9,019.74)
2004	Onshore	05067	CO	La Plata	Royalties	Gas	Coal Bed Methane	 $ 3,483,203.51 
2004	Onshore	05067	CO	La Plata	Royalties	Gas	Gas Plant Products	 $ 1,228.72 
2004	Onshore	05067	CO	La Plata	Royalties	Gas	Processed (Residue) Gas	 $ 5,875.84 
2004	Onshore	05067	CO	La Plata	Royalties	Gas	Unprocessed (Wet) Gas	 $ 2,491,195.09 
2004	Onshore	05069	CO	Larimer	Royalties	Oil	Oil	 $ 6,721.91 
2004	Onshore	05071	CO	Las Animas	Other Roy Vals	Oil & Gas		 $ 75,193.00 
2004	Onshore	05071	CO	Las Animas	Royalties	Gas	Coal Bed Methane	 $ 59,020.81 
2004	Onshore	05071	CO	Las Animas	Royalties	Gas	Unprocessed (Wet) Gas	 $ 1,888,209.11 
2004	Onshore	05075	CO	Logan	Royalties	Oil	Oil	 $ 9,675.80 
2004	Onshore	05077	CO	Mesa	Other Revenues	Oil & Gas		 $ 57,192.27 
2004	Onshore	05077	CO	Mesa	Other Roy Vals	Oil & Gas		 $ 299,507.11 
2004	Onshore	05077	CO	Mesa	Royalties	Gas	Gas Plant Products	 $ 6,721.43 
2004	Onshore	05077	CO	Mesa	Royalties	Gas	Processed (Residue) Gas	 $ 161,671.56 
2004	Onshore	05077	CO	Mesa	Royalties	Gas	Unprocessed (Wet) Gas	 $ 1,698,839.13 
2004	Onshore	05077	CO	Mesa	Royalties	Oil	Condensate	 $ 1,512.33 
2004	Onshore	05077	CO	Mesa	Royalties	Oil	Oil	 $ 6,965.67 
2004	Onshore	05081	CO	Moffat	Other Revenues	Oil & Gas		 $ 17,368.16 
2004	Onshore	05081	CO	Moffat	Other Roy Vals	Oil & Gas		 $ 331,036.45 
2004	Onshore	05081	CO	Moffat	Royalties	Coal	Coal-Subbituminous-Raw	 $ (2,100,588.06)
2004	Onshore	05081	CO	Moffat	Royalties	Gas	Gas Plant Products	 $ 110,962.86 
2004	Onshore	05081	CO	Moffat	Royalties	Gas	Processed (Residue) Gas	 $ 1,829,736.59 
2004	Onshore	05081	CO	Moffat	Royalties	Gas	Unprocessed (Wet) Gas	 $ 7,732,933.16 
2004	Onshore	05081	CO	Moffat	Royalties	Oil	Condensate	 $ 167,608.69 
2004	Onshore	05081	CO	Moffat	Royalties	Oil	Oil	 $ 747,935.66 
2004	Onshore	05081	CO	Moffat	Royalties	Solids	Coal	 $ (846,126.56)
