Land Category	Calendar Year	Ofshore Region	Planning Area	Offshore Area	Protraction	Volume Type	Commodity	Product	 Sales Volumes 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Gas	Processed (Residue) Gas (mcf)	  33,572,462.48 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  53,843,027.22 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	NGL	Gas Plant Products (gal)	  9,276,687.70 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Oil	Condensate (bbl)	  1,521.40 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  890.73 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Oil	Oil (bbl)	  15,648.22 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Oil	Other Liquid Hydrocarbons (bbl)	  16,766.46 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalty	Other Products	Sulfur (lton)	  8,761.20 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalty	Gas	Processed (Residue) Gas (mcf)	  37,749.64 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  2,459,440.47 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalty	NGL	Gas Plant Products (gal)	  80,428.16 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalty	Oil	Condensate (bbl)	  87,342.81 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalty	Oil	Oil (bbl)	  95,119.38 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Gas	Flash Gas (mcf)	  105,599.36 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Gas	Fuel Gas (mcf)	  927,777.85 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Gas	Gas Lost - Flared or Vented (mcf)	  87,666.52 
