State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Illinois	ELEC.GEN.HYC-IL-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	154	129	173	154	139	136	119	140	111	120
Illinois	ELEC.GEN.AOR-IL-99.A	ELEC.GEN.AOR	All Other Renewables	822	783	849	1285	3035	3530	5138	6865	8373	10285
Illinois	ELEC.GEN.WND-IL-99.A	ELEC.GEN.WND	Wind	78	141	255	664	2337	2820	4454	6213	7727	9625
Illinois	ELEC.GEN.SUN-IL-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	0	14	14	31	52
Illinois	ELEC.GEN.GEO-IL-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Illinois	ELEC.GEN.BIO-IL-99.A	ELEC.GEN.BIO	Biomass (total)	744	642	594	620	698	710	670	638	615	608
Illinois	ELEC.GEN.WWW-IL-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	1	0	0	1	0	0
Illinois	ELEC.GEN.WAS-IL-99.A	ELEC.GEN.WAS	Other biomass	744	642	594	620	697	710	670	638	615	608
Indiana	ELEC.GEN.ALL-IN-99.A	ELEC.GEN.ALL	General
Indiana	ELEC.GEN.HYC-IN-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	444	438	490	450	437	503	454	409	434	387
Indiana	ELEC.GEN.AOR-IN-99.A	ELEC.GEN.AOR	All Other Renewables	137	68	220	231	511	1706	3246	3621	3546	3888
Indiana	ELEC.GEN.WND-IN-99.A	ELEC.GEN.WND	Wind	--	--	--	--	238	1403	2934	3285	3210	3481
Indiana	ELEC.GEN.SUN-IN-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	NM	31
Indiana	ELEC.GEN.GEO-IN-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Indiana	ELEC.GEN.BIO-IN-99.A	ELEC.GEN.BIO	Biomass (total)	137	68	220	231	273	303	312	336	336	376
Indiana	ELEC.GEN.WWW-IN-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	0
Indiana	ELEC.GEN.WAS-IN-99.A	ELEC.GEN.WAS	Other biomass	137	68	220	231	273	303	312	336	336	376
Michigan	ELEC.GEN.ALL-MI-99.A	ELEC.GEN.ALL	General
Michigan	ELEC.GEN.HYC-MI-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1540	1462	1520	1270	1364	1372	1251	1357	1215	1419
Michigan	ELEC.GEN.AOR-MI-99.A	ELEC.GEN.AOR	All Other Renewables	2558	2494	2443	2417	2591	2623	2832	2962	3785	5514
Michigan	ELEC.GEN.WND-MI-99.A	ELEC.GEN.WND	Wind	2	2	2	3	141	300	360	456	1132	2800
Michigan	ELEC.GEN.SUN-MI-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Michigan	ELEC.GEN.GEO-MI-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Michigan	ELEC.GEN.BIO-MI-99.A	ELEC.GEN.BIO	Biomass (total)	2557	2492	2440	2414	2450	2323	2472	2506	2654	2715
Michigan	ELEC.GEN.WWW-MI-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1867	1776	1704	1692	1710	1489	1670	1679	1698	1727
Michigan	ELEC.GEN.WAS-MI-99.A	ELEC.GEN.WAS	Other biomass	690	717	737	722	740	834	802	827	956	988
Ohio	ELEC.GEN.ALL-OH-99.A	ELEC.GEN.ALL	General
Ohio	ELEC.GEN.HYC-OH-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	730	516	632	410	386	528	429	384	414	549
Ohio	ELEC.GEN.AOR-OH-99.A	ELEC.GEN.AOR	All Other Renewables	428	446	459	435	623	633	700	936	1739	2009
Ohio	ELEC.GEN.WND-OH-99.A	ELEC.GEN.WND	Wind	--	13	14	15	15	14	13	198	985	1146
Ohio	ELEC.GEN.SUN-OH-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	13	15	37	46
Ohio	ELEC.GEN.GEO-OH-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
