Year	Region	Area	Commodity	Product	Volume	Count
2010	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	371661893.39	16
2010	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	17664530.97	17
2010	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	158452.36	7
2010	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	34835895.93	13
2010	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	337549.43	13
2010	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	187.32	1
2010	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	5265.35	1
2010	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.07	1
2010	Pacific	Southern California	Gas	Fuel Gas (mcf)	18112.00	1
2010	Pacific	Southern California	Gas	Gas Lost - Flared or Vented (mcf)	20480.00	1
2010	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	16641844.92	1
2010	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	3768883.61	1
2010	Pacific	Southern California	NGL	Gas Plant Products (gal)	7372394.07	1
2010	Pacific	Southern California	Oil	Condensate (bbl)	16665.54	1
2010	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	48855.71	1
2010	Pacific	Southern California	Oil	Oil (bbl)	21661488.06	1
2010	Pacific	Southern California	Other	Sulfur (lton)	3772.13	1
2011	Alaska	Beaufort Sea	Oil	Oil (bbl)	1039202.76	1
2011	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	2296430.16	26
2011	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	946654152.64	33
2011	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	302193556.49	35
2011	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1791443937.76	33
2011	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	34513821.13	35
2011	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	636157.70	28
2011	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	411273868.61	31
2011	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	13444712.76	18
2011	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	668871.26	10
2011	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	141723.62	24
2011	Gulf	Central Gulf of Mexico	Other	Salt (ton)	19601.00	1
2011	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	6703.11	1
2011	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	101.48	1
2011	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	106921755.18	4
2011	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	27061.07	3
2011	Gulf	Eastern Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	268.00	1
2011	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	223649277.10	16
2011	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	93034590.45	18
2011	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	393516222.59	16
2011	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	21009906.01	17
2011	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	239975.18	5
2011	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	36796222.20	13
2011	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	424460.39	12
2011	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	33663.90	1
2011	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	4279.15	1
2011	Pacific	Southern California	Gas	Fuel Gas (mcf)	4497.00	1
2011	Pacific	Southern California	Gas	Gas Lost - Flared or Vented (mcf)	11385.00	1
2011	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	12203755.23	1
2011	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	3318885.48	1
2011	Pacific	Southern California	NGL	Gas Plant Products (gal)	6456385.68	1
2011	Pacific	Southern California	Oil	Condensate (bbl)	13528.38	1
2011	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	37174.42	1
2011	Pacific	Southern California	Oil	Oil (bbl)	19781761.78	1
2011	Pacific	Southern California	Other	Sulfur (lton)	3334.25	1
2012	Alaska	Beaufort Sea	Oil	Oil (bbl)	613535.68	1
2012	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1606114.20	28
2012	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	752527908.84	36
2012	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	275311203.72	37
2012	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1556317227.52	35
2012	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	30902494.67	36
2012	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	462698.43	29
2012	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	377613903.65	33
2012	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	12911859.72	19
2012	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	501224.38	10
2012	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	154150.78	26
2012	Gulf	Central Gulf of Mexico	Other	Salt (ton)	20410.00	1
