Month,Calendar Year,Land Class,Land Category,Revenue Type,Commodity, Revenue ,,
July,2008,Native American,Onshore,Other Revenues,Phosphate, $-   ,,
July,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $(76,250.00)",,
July,2008,Native American,Onshore,Rents,Coal," $9,716.00 ",,
July,2008,Native American,Onshore,Rents,Oil & Gas," $21,911.07 ",,
July,2008,Native American,Onshore,Rents,Phosphate, $-   ,,
July,2008,Native American,Onshore,Royalties,Coal," $7,349,615.51 ",,
July,2008,Native American,Onshore,Royalties,Gas," $33,615,369.61 ",,
July,2008,Native American,Onshore,Royalties,NGL," $1,451,545.60 ",,
July,2008,Native American,Onshore,Royalties,Oil," $13,168,367.35 ",,
July,2008,Native American,Onshore,Royalties,Other Products," $809,380.41 ",,
July,2008,Native American,,Other Revenues,, $4.19 ,,
August,2008,Federal,Offshore,Bonus,Oil & Gas," $911,072,998.00 ",,
August,2008,Federal,Offshore,Other Revenues,Gas," $27,399.03 ",,
August,2008,Federal,Offshore,Other Revenues,NGL," $6,658.79 ",,
August,2008,Federal,Offshore,Other Revenues,Oil," $128,258.72 ",,
August,2008,Federal,Offshore,Other Revenues,Oil & Gas," $11,920,030.72 ",,
August,2008,Federal,Offshore,Rents,Oil & Gas," $7,097,295.42 ",,
August,2008,Federal,Offshore,Royalties,Gas," $335,191,977.89 ",,
August,2008,Federal,Offshore,Royalties,NGL," $24,485,588.85 ",,
August,2008,Federal,Offshore,Royalties,Oil," $679,847,822.83 ",,
August,2008,Federal,Offshore,Royalties,Other Products," $41,087.94 ",,
August,2008,Federal,Onshore,Bonus,Coal," $108,151,619.37 ",,
August,2008,Federal,Onshore,Bonus,Oil & Gas," $22,882,698.25 ",,
August,2008,Federal,Onshore,Other Revenues,Coal," $143,988.53 ",,
August,2008,Federal,Onshore,Other Revenues,Gas," $2,390.12 ",,
August,2008,Federal,Onshore,Other Revenues,Geothermal," $34,103.62 ",,
