Company	Revenue Type	Commodity	Revenue		
BTA OIL PRODUCERS LLC	BLM - Permit Fees	Oil & Gas	$213,325.00 		
BTA OIL PRODUCERS LLC	ONRR - Other Revenues	Oil & Gas	$16,896.65 		
BTA OIL PRODUCERS LLC	ONRR - Royalties	Gas	$2,519,724.63 		
BTA OIL PRODUCERS LLC	ONRR - Royalties	Oil	$9,953,335.51 		
BTA OIL PRODUCERS LLC	ONRR/BLM - Bonus	Oil & Gas	$5,213.00 		
BTA OIL PRODUCERS LLC	ONRR/BLM - Rents	Oil & Gas	$21,741.50 		
BUCHANAN MINERALS LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$625,422.94 		
BURNETT OIL COMPANY INC	BLM - Permit Fees	Oil & Gas	$29,370.00 		
BURNETT OIL COMPANY INC	ONRR - Other Revenues	Oil & Gas	$62,312.70 		
BURNETT OIL COMPANY INC	ONRR - Royalties	Gas	$3,216,590.02 		
BURNETT OIL COMPANY INC	ONRR - Royalties	Oil	$7,708,758.10 		
BURNETT OIL COMPANY INC	ONRR/BLM - Rents	Oil & Gas	$3,818.00 		
BXP OPERATING	ONRR - Other Revenues	Oil & Gas	$12,610.29 		
BXP OPERATING	ONRR - Royalties	Gas	$52,197.36 		
BXP OPERATING	ONRR - Royalties	Oil	$615,408.94 		
BXP OPERATING	ONRR/BLM - Rents	Oil & Gas	$2,226.50 		
BYRON ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	$565,553.00 		
BYRON ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$234,619.00 		
C & J GRAVEL PRODUCTS INC	BLM - Permit Fees	Mineral Materials	$558,085.47 		
C W  MINING COMPANY	ONRR - Other Revenues	Coal	$213,605.48 		
C W  MINING COMPANY	ONRR - Royalties	Coal	$1,221,375.59 		
CABOT OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	$2,990.91 		
CABOT OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	$172,382.50 		
CAERUS OIL AND GAS LLC	BLM - Permit Fees	Oil & Gas	$11,645.00 		
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	Oil & Gas	$1,840,411.75 		
CAERUS OIL AND GAS LLC	ONRR - Royalties	Gas	$1,850,267.72 		
CAERUS OIL AND GAS LLC	ONRR - Royalties	Oil	$25,113.38 		
CAERUS OIL AND GAS LLC	ONRR/BLM - Rents	Oil & Gas	$32,330.50 		
CALIFORNIA RESOURCES PRODUCTION CORPORATION	BLM - Permit Fees	Oil & Gas	$234,355.00 		
CALPINE CORP	BLM - Permit Fees	Locatable Minerals	$155.00 		
CALPINE CORP	ONRR - Royalties	Geothermal	$5,938,934.08 		
