Company	Revenue Type	Commodity	Revenue
BOWIE RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	$1,476,092
BP AMERICA INC	ONRR - Inspection Fees	Oil & Gas	$1,819,500
BP AMERICA INC	ONRR - Other Revenues	Oil & Gas	$6,520,537
BP AMERICA INC	ONRR - Royalties	Gas	$49,849,798
BP AMERICA INC	ONRR - Royalties	Oil	$348,605,436
BP AMERICA INC	ONRR/BLM - Bonus	Oil & Gas	$26,076,225
BP AMERICA INC	ONRR/BLM - Rents	Oil & Gas	$12,436,505
BP AMERICA INC	BLM - Permit Fees	Oil & Gas	$719,420
BRAVO ARKOMA LLC	ONRR - Other Revenues	N/A	$243
BRAVO ARKOMA LLC	ONRR - Other Revenues	Oil & Gas	$1,052
BRAVO ARKOMA LLC	ONRR - Royalties	Gas	$411,920
BRAVO ARKOMA LLC	ONRR - Royalties	Oil	$1,010
BRAVO ARKOMA LLC	ONRR/BLM - Rents	Oil & Gas	$1,862
BRAVO ARKOMA LLC	BLM - Permit Fees	Oil & Gas	$95
BRAZOS LP	ONRR - Other Revenues	Oil & Gas	$2,938
BRAZOS LP	ONRR - Royalties	Gas	$98,628
BRAZOS LP	ONRR - Royalties	Oil	$121,399
BRAZOS LP	ONRR/BLM - Rents	Oil & Gas	$160
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$14,471
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Gas	$2,148,980
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Oil	$2,884,154
BREITBURN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$12,522
BRONCO CREEK EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	$337,325
BRONCO UTAH RESERVES INC	BLM - Permit Fees	Coal	$260
BRONCO UTAH RESERVES INC	ONRR - Other Revenues	Coal	$135,595
BRONCO UTAH RESERVES INC	ONRR/BLM - Rents	Coal	$3,010
BTA OIL PRODUCERS LLC	ONRR - Other Revenues	Oil & Gas	$13,538
BTA OIL PRODUCERS LLC	ONRR - Royalties	Gas	$1,081,729
BTA OIL PRODUCERS LLC	ONRR - Royalties	Oil	$4,492,590
BTA OIL PRODUCERS LLC	ONRR/BLM - Rents	Oil & Gas	$20,506
BTA OIL PRODUCERS LLC	BLM - Permit Fees	Oil & Gas	$124,050
BUCHANAN MINERALS LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	$276,750
BURNETT OIL CO INC	ONRR - Other Revenues	Oil & Gas	-$32,125
BURNETT OIL CO INC	ONRR - Royalties	Gas	$3,828,007
BURNETT OIL CO INC	ONRR - Royalties	Oil	$6,960,465
BURNETT OIL CO INC	ONRR/BLM - Rents	Oil & Gas	$91,685
BURNETT OIL CO INC	BLM - Permit Fees	Oil & Gas	$38,830
BXP OPERATING	BLM - Permit Fees	Oil & Gas	$10,980
BXP OPERATING	ONRR - Other Revenues	Oil & Gas	$858
BXP OPERATING	ONRR - Royalties	Gas	$54,852
BXP OPERATING	ONRR - Royalties	Oil	$307,937
BXP OPERATING	ONRR/BLM - Rents	Oil & Gas	$1,574
BYRON ENERGY INC	ONRR - Inspection Fees	Oil & Gas	$83,800
BYRON ENERGY INC	ONRR - Other Revenues	Oil & Gas	$273
BYRON ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$168,091
C & J GRAVEL PRODUCTS INC	BLM - Permit Fees	Mineral Materials	$575,001
C O P COAL DEVELOPMENT CO	ONRR - Other Revenues	Coal	$2,140,817
CABOT OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	$294,459
CABOT OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	$166,563
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	N/A	$243
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	Oil & Gas	-$34,407
CAERUS OIL AND GAS LLC	ONRR - Royalties	Gas	$989,127
CAERUS OIL AND GAS LLC	ONRR - Royalties	Oil	$17,781
CAERUS OIL AND GAS LLC	ONRR/BLM - Rents	Oil & Gas	$1,463
CAERUS OIL AND GAS LLC	BLM - Permit Fees	Oil & Gas	$190
CALPINE CORP	ONRR - Other Revenues	N/A	$753
CALPINE CORP	ONRR - Royalties	Geothermal	$4,949,929
CALPINE CORP	ONRR/BLM - Rents	Geothermal	$28,285
CALPORTLAND CO	BLM - Permit Fees	Locatable Minerals	$142,564
CALPORTLAND CO	BLM - Permit Fees	Mineral Materials	$61,431
CALYPSO EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	-$370,185
CALYPSO EXPLORATION LLC	ONRR - Royalties	Gas	$26,928
CALYPSO EXPLORATION LLC	ONRR - Royalties	Oil	$1,438,274
CALYPSO EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	$39,578
