Company Name,Revenue Type,Commodity,Revenue,
HOUSTON ENERGY LP,Rents,Oil & Gas,330080,
HOUSTON OIL PRODUCING ENTERPRISES INC,Other Revenues,Oil & Gas,0,
HOUSTON OIL PRODUCING ENTERPRISES INC,Royalties,Gas,6231.99,
HOUSTON OIL PRODUCING ENTERPRISES INC,Royalties,Oil,248293.85,
HOWARD ENERGY CO INC,Other Revenues,Oil & Gas,1819.49,
HOWARD ENERGY CO INC,Royalties,Gas,18797.64,
HOWARD ENERGY CO INC,Royalties,Oil,480943.25,
HRM RESOURCES LLC,Civil Penalties,N/A,19508,
HRM RESOURCES LLC,Other Revenues,Oil & Gas,2599.27,
HRM RESOURCES LLC,Rents,Oil & Gas,14351,
HRM RESOURCES LLC,Royalties,Gas,116839.6,
HRM RESOURCES LLC,Royalties,Oil,6784.84,
HUDSON OIL COMPANY OF TEXAS,Other Revenues,Oil & Gas,5693.26,
HUDSON OIL COMPANY OF TEXAS,Rents,Oil & Gas,460,
HUDSON OIL COMPANY OF TEXAS,Royalties,Gas,182341.24,
HUDSON OIL COMPANY OF TEXAS,Royalties,Oil,12184.12,
HUNT OIL COMPANY,Bonus,Oil & Gas,214470,
HUNT OIL COMPANY,Inspection Fees,Oil & Gas,27500,
HUNT OIL COMPANY,Other Revenues,N/A,274.82,
HUNT OIL COMPANY,Other Revenues,Oil & Gas,30656.44,
HUNT OIL COMPANY,Rents,Oil & Gas,433905,
HUNT OIL COMPANY,Royalties,Gas,41715.73,
HUNT OIL COMPANY,Royalties,Oil,671305.97,
HUNTINGTON ENERGY LLC,Other Revenues,Oil & Gas,5538.21,
HUNTINGTON ENERGY LLC,Rents,Oil & Gas,15570,
HUNTINGTON ENERGY LLC,Royalties,Gas,2015415.46,
HUNTINGTON ENERGY LLC,Royalties,Oil,1011163.09,
HYPERION OIL & GAS LLC,Other Revenues,Oil & Gas,760,
HYPERION OIL & GAS LLC,Rents,Oil & Gas,1380,
HYPERION OIL & GAS LLC,Royalties,Gas,38561.85,
HYPERION OIL & GAS LLC,Royalties,Oil,796703.25,
INLAND OIL & GAS CORP,Bonus,Oil & Gas,102400,
INLAND OIL & GAS CORP,Other Revenues,Oil & Gas,959.51,
INLAND OIL & GAS CORP,Rents,Oil & Gas,480,
INLAND OIL & GAS CORP,Royalties,Gas,4673.57,
INTREPID POTASH INC,Bonus,Potassium,-432000,
INTREPID POTASH INC,Other Revenues,N/A,214,
INTREPID POTASH INC,Other Revenues,Potassium,239137.33,
INTREPID POTASH INC,Rents,Potassium,50644.5,
INTREPID POTASH INC,Royalties,Other Commodities,7900349.54,
IRISH OIL & GAS INC,Bonus,Oil & Gas,173300,
IRISH OIL & GAS INC,Rents,Oil & Gas,2113.5,
J & M RAYMOND LTD,Other Revenues,Oil & Gas,767.78,
J & M RAYMOND LTD,Royalties,Gas,194493.5,
J & M RAYMOND LTD,Royalties,Oil,1730.93,
J BAR CANE INC,Bonus,Oil & Gas,196000,
J BAR CANE INC,Rents,Oil & Gas,8760,
J.P. INCORPORATED,Rents,Oil & Gas,2679,
J.P. INCORPORATED,Royalties,Gas,-172.7,
J.P. INCORPORATED,Royalties,Oil,528749.96,
J.R. SIMPLOT COMPANY,Other Revenues,N/A,1070,
J.R. SIMPLOT COMPANY,Other Revenues,Phosphate,57757,
J.R. SIMPLOT COMPANY,Rents,Phosphate,-2572,
J.R. SIMPLOT COMPANY,Royalties,Other Commodities,4663622.13,
JAG OPERATING LLC,Other Revenues,Oil & Gas,608.24,
JAG OPERATING LLC,Royalties,Gas,15422.41,
JAG OPERATING LLC,Royalties,Oil,227310.35,
JAMES RIVER COAL COMPANY,Rents,Coal,8592,
JAMES RIVER COAL COMPANY,Royalties,Coal,1499102.72,
JBLS MONTANA INC,Bonus,Oil & Gas,118000,
JBLS MONTANA INC,Rents,Oil & Gas,1440,
JIM WALTERS RESOURCES INC,Other Revenues,N/A,214,
JIM WALTERS RESOURCES INC,Rents,Coal,8664,
JIM WALTERS RESOURCES INC,Royalties,Coal,3009955.67,
JOHN H. HENDRIX CORPORATION,Other Revenues,Oil & Gas,37.9,
JOHN H. HENDRIX CORPORATION,Royalties,Gas,587556.25,
JOHN H. HENDRIX CORPORATION,Royalties,Oil,76243.91,
JONES ENERGY LTD,Other Revenues,N/A,214,
JONES ENERGY LTD,Other Revenues,Oil & Gas,-84004.89,
JONES ENERGY LTD,Royalties,Gas,443319.55,
JONES ENERGY LTD,Royalties,Oil,55185.83,
"JONES, VERN K.",Bonus,Oil & Gas,1185890,
"JONES, VERN K.",Other Revenues,Oil & Gas,-360,
"JONES, VERN K.",Rents,Oil & Gas,27112.5,
JORDAN DEVELOPMENT COMPANY LLC,Bonus,Oil & Gas,266414,
JORDAN DEVELOPMENT COMPANY LLC,Other Revenues,Oil & Gas,-200,
JORDAN DEVELOPMENT COMPANY LLC,Rents,Oil & Gas,11425.5,
JORDAN DEVELOPMENT COMPANY LLC,Royalties,Gas,23205.72,
JULANDER ENERGY COMPANY,Other Revenues,Oil & Gas,231.52,
JULANDER ENERGY COMPANY,Rents,Oil & Gas,20942,
JULANDER ENERGY COMPANY,Royalties,Oil,83830.83,
K2 LAND COMPANY LLC,Bonus,Oil & Gas,310470,
K2 LAND COMPANY LLC,Rents,Oil & Gas,3573,
KAISER-FRANCIS OIL COMPANY,Other Revenues,Oil & Gas,-36892.16,
KAISER-FRANCIS OIL COMPANY,Rents,Oil & Gas,5825,
KAISER-FRANCIS OIL COMPANY,Royalties,Gas,761976.08,
KAISER-FRANCIS OIL COMPANY,Royalties,Oil,540891.59,
KB CRONIN CO LLC,Bonus,Oil & Gas,104302,
KB CRONIN CO LLC,Rents,Oil & Gas,10273.5,
KCS MEDALLION RESOURCES INC,Other Revenues,Oil & Gas,3737.85,
KCS MEDALLION RESOURCES INC,Royalties,Gas,116019.41,
KENNEDY OIL,Other Revenues,Oil & Gas,23449.53,
KENNEDY OIL,Rents,Oil & Gas,15694,
KENNEDY OIL,Royalties,Gas,82409.09,
KHL INC,Bonus,Oil & Gas,996075,
KHL INC,Rents,Oil & Gas,11553,
KHODY LAND & MINERALS COMPANY,Bonus,Oil & Gas,360730,
KHODY LAND & MINERALS COMPANY,Other Revenues,Oil & Gas,4681.18,
KHODY LAND & MINERALS COMPANY,Rents,Oil & Gas,248330.5,
KIEWIT MINING GROUP INC,Rents,Coal,115092,
KIEWIT MINING GROUP INC,Royalties,Coal,20992622.15,
KIMBELL OIL COMPANY,Other Revenues,Oil & Gas,-310.49,
KIMBELL OIL COMPANY,Royalties,Gas,177562.6,
KIMBELL OIL COMPANY,Royalties,Oil,9294.62,
KINDER MORGAN ENERGY PARTNERS LP,Other Revenues,Oil & Gas,369378.75,
KINDER MORGAN ENERGY PARTNERS LP,Rents,Oil & Gas,156759,
KINDER MORGAN ENERGY PARTNERS LP,Royalties,Oil,25225.77,
KINDER MORGAN ENERGY PARTNERS LP,Royalties,Other Commodities,39881066.74,
KIRKWOOD,Bonus,Oil & Gas,1218350.5,
KIRKWOOD,Other Revenues,Oil & Gas,18304.83,
KIRKWOOD,Rents,Oil & Gas,851732.75,
KIRKWOOD,Royalties,Gas,600515.05,
KIRKWOOD,Royalties,Oil,1459790.89,
KMD OPERATING COMPANY LLC,Other Revenues,Oil & Gas,669.8,
KMD OPERATING COMPANY LLC,Rents,Oil & Gas,952,
KMD OPERATING COMPANY LLC,Royalties,Gas,5136.63,
KMD OPERATING COMPANY LLC,Royalties,Oil,154353.34,
KNIGHT RESOURCES LLC,Other Revenues,Oil & Gas,316.92,
KNIGHT RESOURCES LLC,Royalties,Gas,493762.41,
KNIGHT RESOURCES LLC,Royalties,Oil,326386.87,
KOCH INDUSTRIES INC,Other Revenues,Oil & Gas,46051.66,
KOCH INDUSTRIES INC,Rents,Oil & Gas,751383.5,
KOCH INDUSTRIES INC,Royalties,Gas,3052537.92,
KOCH INDUSTRIES INC,Royalties,Oil,5505660.81,
KODIAK OIL & GAS CORP,Bonus,Oil & Gas,1368900,
KODIAK OIL & GAS CORP,Other Revenues,Oil & Gas,14319.85,
KODIAK OIL & GAS CORP,Rents,Oil & Gas,23440,
KODIAK OIL & GAS CORP,Royalties,Gas,235895.98,
KODIAK OIL & GAS CORP,Royalties,Oil,2439583.9,
LAND PROFESSIONALS INC - UT,Bonus,Oil & Gas,239602,
LAND PROFESSIONALS INC - UT,Rents,Oil & Gas,24103.5,
LAND PROFESSIONALS INC - WY,Bonus,Oil & Gas,1680199,
LAND PROFESSIONALS INC - WY,Rents,Oil & Gas,13602,
LAREDO PETROLEUM INC,Other Revenues,N/A,214,
LAREDO PETROLEUM INC,Other Revenues,Oil & Gas,3223.29,
LAREDO PETROLEUM INC,Rents,Oil & Gas,488,
LAREDO PETROLEUM INC,Royalties,Gas,363135.08,
LAREDO PETROLEUM INC,Royalties,Oil,78411.21,
LASSO OIL & GAS LLC,Other Revenues,Oil & Gas,0,
LASSO OIL & GAS LLC,Royalties,Gas,57356.52,
LASSO OIL & GAS LLC,Royalties,Oil,58020.98,
LEGACY RESERVES OPERATING LP,Other Revenues,Oil & Gas,240744.31,
LEGACY RESERVES OPERATING LP,Rents,Oil & Gas,19302.24,
LEGACY RESERVES OPERATING LP,Royalties,Gas,2202321.6,
LEGACY RESERVES OPERATING LP,Royalties,Oil,13049430.98,
LIBERTY PETROLEUM CORP,Bonus,Oil & Gas,143232.5,
LIBERTY PETROLEUM CORP,Other Revenues,Oil & Gas,97.78,
LIBERTY PETROLEUM CORP,Rents,Oil & Gas,323169,
LIME ROCK RESOURCES,Other Revenues,Oil & Gas,87732.19,
LIME ROCK RESOURCES,Rents,Oil & Gas,1238,
LIME ROCK RESOURCES,Royalties,Gas,1544802.07,
LIME ROCK RESOURCES,Royalties,Oil,4691050.6,
LINDE INC,Civil Penalties,N/A,96472,
LINDE INC,Other Revenues,Oil & Gas,1912.63,
LINDE INC,Royalties,Gas,1213,
LINDE INC,Royalties,Other Commodities,605820,
"LINDER OIL COMPANY, A PTNRSHIP",Civil Penalties,N/A,470000,
"LINDER OIL COMPANY, A PTNRSHIP",Rents,Oil & Gas,60,
"LINDER OIL COMPANY, A PTNRSHIP",Royalties,Gas,18197.41,
"LINDER OIL COMPANY, A PTNRSHIP",Royalties,Oil,402272.37,
LINN ENERGY LLC,Other Revenues,Oil & Gas,552525.15,
LINN ENERGY LLC,Rents,Oil & Gas,10157.18,
LINN ENERGY LLC,Royalties,Gas,29001629.11,
LINN ENERGY LLC,Royalties,Oil,53820036.93,
LIVELY EXPLORATION COMPANY,Other Revenues,Oil & Gas,-91.69,
LIVELY EXPLORATION COMPANY,Royalties,Gas,112829,
LIVELY EXPLORATION COMPANY,Royalties,Oil,4294.69,
LLOG EXPLORATION OFFSHORE INC,Bonus,Oil & Gas,122486246,
LLOG EXPLORATION OFFSHORE INC,Inspection Fees,Oil & Gas,904800,
LLOG EXPLORATION OFFSHORE INC,Other Revenues,Oil & Gas,-134548.03,
LLOG EXPLORATION OFFSHORE INC,Rents,Oil & Gas,3094544,
LLOG EXPLORATION OFFSHORE INC,Royalties,Gas,12221894.03,
LLOG EXPLORATION OFFSHORE INC,Royalties,Oil,178374325.92,
LOCIN OIL CORP,Other Revenues,Oil & Gas,1993.24,
LOCIN OIL CORP,Rents,Oil & Gas,4806,
LOCIN OIL CORP,Royalties,Gas,319300.83,
LOCIN OIL CORP,Royalties,Oil,26874.01,
LONE MOUNTAIN PRODUCTION COMPANY,Other Revenues,Oil & Gas,379,
LONE MOUNTAIN PRODUCTION COMPANY,Royalties,Gas,590520.48,
LONE MOUNTAIN PRODUCTION COMPANY,Royalties,Oil,51331.63,
LONETREE ENERGY & ASSOCIATES LLC,Bonus,Oil & Gas,213063,
LONETREE ENERGY & ASSOCIATES LLC,Rents,Oil & Gas,18484.5,
LONEWOLF EXPLORATION & PRODUCTION CO,Bonus,Oil & Gas,771391,
LONEWOLF EXPLORATION & PRODUCTION CO,Rents,Oil & Gas,53609.5,
LPC CRUDE OIL INC,Royalties,Oil,3007207.81,
LUFF EXPLORATION COMPANY,Royalties,Gas,791.46,
LUFF EXPLORATION COMPANY,Royalties,Oil,137683.63,
M & K OIL COMPANY,Other Revenues,Oil & Gas,-5656.29,
M & K OIL COMPANY,Rents,Oil & Gas,30214,
M & K OIL COMPANY,Royalties,Gas,148318.29,
M V PURCHASING LLC,Other Revenues,Oil & Gas,61.68,
M V PURCHASING LLC,Royalties,Oil,214112.44,
M&G DRILLING COMPANY INC,Other Revenues,Oil & Gas,-586.66,
M&G DRILLING COMPANY INC,Royalties,Gas,704872.2,
M&G DRILLING COMPANY INC,Royalties,Oil,6449.14,
M21K LLC,Other Revenues,Oil & Gas,666049.01,
M21K LLC,Rents,Oil & Gas,15155,
M21K LLC,Royalties,Gas,9040915.17,
M21K LLC,Royalties,Oil,9123136.26,
MACK ENERGY CORP,Bonus,Oil & Gas,188000,
MACK ENERGY CORP,Other Revenues,Oil & Gas,4072.83,
MACK ENERGY CORP,Rents,Oil & Gas,92728,
MACK ENERGY CORP,Royalties,Gas,799127.82,
MACK ENERGY CORP,Royalties,Oil,4269711.91,
MACPHERSON ENERGY CORP,Other Revenues,Oil & Gas,2570.92,
MACPHERSON ENERGY CORP,Rents,Oil & Gas,1829,
MACPHERSON ENERGY CORP,Royalties,Oil,13556257.77,
MAERSK OIL,Bonus,Oil & Gas,28954939,
MAERSK OIL,Rents,Oil & Gas,6390720,
MAGMA ENERGY CORP,Other Revenues,Geothermal,3215.39,
MAGMA ENERGY CORP,Rents,Geothermal,154491,
MAGMA ENERGY CORP,Royalties,Geothermal,2106.72,
MAKOIL INC,Other Revenues,Oil & Gas,2262.13,
MAKOIL INC,Rents,Oil & Gas,104580.5,
MAKOIL INC,Royalties,Oil,1393941.22,
MANZANO ENERGY PARTNERS II LLC,Bonus,Oil & Gas,160000,
MANZANO ENERGY PARTNERS II LLC,Rents,Oil & Gas,600,
MARALEX RESOURCES INC,Other Revenues,Oil & Gas,59527.06,
MARALEX RESOURCES INC,Rents,Oil & Gas,20501,
MARALEX RESOURCES INC,Royalties,Gas,279460.78,
MARALEX RESOURCES INC,Royalties,Oil,21076.31,
MARATHON OIL CORP,Bonus,Oil & Gas,37194666,
MARATHON OIL CORP,Civil Penalties,N/A,40000,
MARATHON OIL CORP,Inspection Fees,Oil & Gas,123000,
MARATHON OIL CORP,Other Revenues,N/A,2287.66,
MARATHON OIL CORP,Other Revenues,Oil & Gas,430590.92,
MARATHON OIL CORP,Rents,Oil & Gas,3086738.79,
MARATHON OIL CORP,Royalties,Gas,8682909,
MARATHON OIL CORP,Royalties,Oil,117426410.41,
MARATHON OIL CORP,Royalties,Other Commodities,4438.63,
MARITECH RESOURCES INC,Inspection Fees,Oil & Gas,235500,
MARITECH RESOURCES INC,Other Revenues,Oil & Gas,81457.86,
MARITECH RESOURCES INC,Rents,Oil & Gas,11855,
MARITECH RESOURCES INC,Royalties,Gas,292734.69,
MARITECH RESOURCES INC,Royalties,Oil,230089.96,
MARLIN ENERGY OFFSHORE LLC,Inspection Fees,Oil & Gas,65500,
MARLIN ENERGY OFFSHORE LLC,Other Revenues,Oil & Gas,-9072.54,
MARLIN ENERGY OFFSHORE LLC,Rents,Oil & Gas,72370,
MARLIN ENERGY OFFSHORE LLC,Royalties,Gas,35529.49,
MARLIN ENERGY OFFSHORE LLC,Royalties,Oil,639550.34,
MARSHALL & WINSTON INC,Bonus,Oil & Gas,260000,
MARSHALL & WINSTON INC,Other Revenues,Oil & Gas,-61.98,
MARSHALL & WINSTON INC,Rents,Oil & Gas,46327.5,
MARSHALL & WINSTON INC,Royalties,Gas,143811.59,
MARTIN FUELS INC,Bonus,Oil & Gas,881168,
MARTIN FUELS INC,Rents,Oil & Gas,52920,
MARTIN OIL & GAS LLC,Bonus,Oil & Gas,1370189,
MARTIN OIL & GAS LLC,Rents,Oil & Gas,63961.5,
MARUBENI OIL & GAS (USA) INC,Other Revenues,Oil & Gas,569059.5,
MARUBENI OIL & GAS (USA) INC,Rents,Oil & Gas,480615,
MARUBENI OIL & GAS (USA) INC,Royalties,Gas,6079996.77,
MARUBENI OIL & GAS (USA) INC,Royalties,Oil,25245458.11,
MATADOR RESOURCES COMPANY,Bonus,Oil & Gas,2267550,
MATADOR RESOURCES COMPANY,Other Revenues,Oil & Gas,-89247.26,
MATADOR RESOURCES COMPANY,Rents,Oil & Gas,56490,
MATADOR RESOURCES COMPANY,Royalties,Gas,483532.54,
MATADOR RESOURCES COMPANY,Royalties,Oil,58868.63,
MATAGORDA ISLAND GAS OPERATIONS LLC,Royalties,Gas,143702.86,
MATAGORDA ISLAND GAS OPERATIONS LLC,Royalties,Oil,866.41,
MATRIX PRODUCTION COMPANY,Other Revenues,Oil & Gas,539.53,
MATRIX PRODUCTION COMPANY,Rents,Oil & Gas,560,
MATRIX PRODUCTION COMPANY,Royalties,Gas,-37114.99,
MATRIX PRODUCTION COMPANY,Royalties,Oil,166474.39,
MAURICE W BROWN OIL & GAS LLC,Bonus,Oil & Gas,5930851,
MAURICE W BROWN OIL & GAS LLC,Other Revenues,Oil & Gas,3596.9,
MAURICE W BROWN OIL & GAS LLC,Rents,Oil & Gas,355562,
MAXUS EXPLORATION COMPANY,Other Revenues,Oil & Gas,2801.36,
MAXUS EXPLORATION COMPANY,Rents,Oil & Gas,820800,
MAXUS EXPLORATION COMPANY,Royalties,Gas,167334.29,
MAXUS EXPLORATION COMPANY,Royalties,Oil,6458104.33,
MC OFFSHORE PETROLEUM LLC,Inspection Fees,Oil & Gas,107200,
MC OFFSHORE PETROLEUM LLC,Other Revenues,Oil & Gas,-162136.61,
MC OFFSHORE PETROLEUM LLC,Rents,Oil & Gas,27555,
MC OFFSHORE PETROLEUM LLC,Royalties,Gas,140705.72,
MC OFFSHORE PETROLEUM LLC,Royalties,Oil,6979842.51,
MCCORMICK SONJA V,Bonus,Oil & Gas,90274,
MCCORMICK SONJA V,Rents,Oil & Gas,11463.25,
MCR LLC,Other Revenues,Oil & Gas,1424.07,
MCR LLC,Rents,Oil & Gas,560,
MCR LLC,Royalties,Gas,12492.83,
MCR LLC,Royalties,Oil,95936.94,
MCX GULF OF MEXICO LLC,Other Revenues,Oil & Gas,-68.42,
MCX GULF OF MEXICO LLC,Royalties,Gas,154473.33,
MCX GULF OF MEXICO LLC,Royalties,Oil,4269146.07,
MEDCO ENERGI US LLC,Inspection Fees,Oil & Gas,422500,
MEDCO ENERGI US LLC,Other Revenues,Oil & Gas,98985.41,
MEDCO ENERGI US LLC,Rents,Oil & Gas,345,
MEDCO ENERGI US LLC,Royalties,Gas,237268.39,
MEDCO ENERGI US LLC,Royalties,Oil,4538988.7,
MEMORIAL OPERATING PRODUCTION LLC,Other Revenues,Oil & Gas,3232,
MEMORIAL OPERATING PRODUCTION LLC,Royalties,Gas,377980.52,
MEMORIAL OPERATING PRODUCTION LLC,Royalties,Oil,20130.17,
MEREDITH MARKETING COMPANY,Royalties,Oil,3412814.83,
MERIT ENERGY COMPANY,Inspection Fees,Oil & Gas,572651.18,
MERIT ENERGY COMPANY,Other Revenues,N/A,2683.72,
MERIT ENERGY COMPANY,Other Revenues,Oil & Gas,-104019.87,
MERIT ENERGY COMPANY,Rents,Oil & Gas,63631.25,
MERIT ENERGY COMPANY,Royalties,Gas,5935956.31,
MERIT ENERGY COMPANY,Royalties,Oil,30752202.67,
MERIT ENERGY COMPANY,Royalties,Other Commodities,3915.56,
MERRION OIL & GAS CORP,Other Revenues,Oil & Gas,-32600.86,
MERRION OIL & GAS CORP,Rents,Oil & Gas,13070,
MERRION OIL & GAS CORP,Royalties,Gas,661691.65,
MERRION OIL & GAS CORP,Royalties,Oil,327253.64,
MESA ENERGY PARTNERS LLC,Rents,Oil & Gas,28554,
MESA ENERGY PARTNERS LLC,Royalties,Gas,502717.29,
MESA ENERGY PARTNERS LLC,Royalties,Oil,100001.94,
MEWBOURNE OIL COMPANY,Bonus,Oil & Gas,1278000,
MEWBOURNE OIL COMPANY,Other Revenues,Oil & Gas,712691,
MEWBOURNE OIL COMPANY,Rents,Oil & Gas,5379,
MEWBOURNE OIL COMPANY,Royalties,Gas,5310587.68,
MEWBOURNE OIL COMPANY,Royalties,Oil,24348347.06,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Bonus,Coal,230000,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Other Revenues,Coal,190.69,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Rents,Coal,94927.5,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Rents,Oil & Gas,270,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Royalties,Coal,16849005.57,
MIDAMERICAN ENERGY HOLDINGS COMPANY,Royalties,Geothermal,303753.38,
MILES ENERGY LLC,Bonus,Oil & Gas,1728000,
MILES ENERGY LLC,Rents,Oil & Gas,1440,
MILES RONALD,Bonus,Oil & Gas,12848660,
MILES RONALD,Rents,Oil & Gas,2921.5,
MINERAL RESOURCES INC,Other Revenues,Oil & Gas,11426.58,
MINERAL RESOURCES INC,Royalties,Gas,129324.66,
MINERAL RESOURCES INC,Royalties,Oil,76689.7,
MONCRIEF OIL,Bonus,Oil & Gas,86535,
MONCRIEF OIL,Other Revenues,Oil & Gas,2151.71,
MONCRIEF OIL,Rents,Oil & Gas,184400,
MONCRIEF OIL,Royalties,Gas,504784.81,
MONCRIEF OIL,Royalties,Oil,9432.4,
MONFORTE EXPLORATION LLC,Inspection Fees,Oil & Gas,250100,
MONFORTE EXPLORATION LLC,Other Revenues,N/A,1715.26,
MONFORTE EXPLORATION LLC,Other Revenues,Oil & Gas,-26900,
MONFORTE EXPLORATION LLC,Rents,Oil & Gas,240,
MONFORTE EXPLORATION LLC,Royalties,Gas,162048,
MONFORTE EXPLORATION LLC,Royalties,Oil,9.79,
MUNICIPAL LIGHT & POWER,Royalties,Gas,1619159.13,
MURCHISON OIL & GAS INC,Other Revenues,Oil & Gas,1455.11,
MURCHISON OIL & GAS INC,Rents,Oil & Gas,920,
MURCHISON OIL & GAS INC,Royalties,Gas,781005.55,
MURCHISON OIL & GAS INC,Royalties,Oil,1115397.67,
MUREX PETROLEUM CORP,Other Revenues,Oil & Gas,2309.27,
MUREX PETROLEUM CORP,Royalties,Gas,3329.29,
MUREX PETROLEUM CORP,Royalties,Oil,149640.29,
MURPHY OIL USA INC,Bonus,Oil & Gas,6338169,
MURPHY OIL USA INC,Inspection Fees,Oil & Gas,309500,
MURPHY OIL USA INC,Other Revenues,Oil & Gas,817182.36,
MURPHY OIL USA INC,Rents,Oil & Gas,4779157.64,
MURPHY OIL USA INC,Royalties,Gas,4852011.46,
MURPHY OIL USA INC,Royalties,Oil,7754448.45,
MURRAY ENERGY CORP,Other Revenues,Coal,2495.5,
MURRAY ENERGY CORP,Rents,Coal,42417.84,
MURRAY ENERGY CORP,Royalties,Coal,6275151.84,
MUSTANG FUEL CORP,Other Revenues,Oil & Gas,28.83,
MUSTANG FUEL CORP,Rents,Oil & Gas,6766,
MUSTANG FUEL CORP,Royalties,Gas,54929.97,
MUSTANG FUEL CORP,Royalties,Oil,58465.13,
NADEL AND GUSSMAN HEYCO LLC,Bonus,Oil & Gas,216000,
NADEL AND GUSSMAN HEYCO LLC,Rents,Oil & Gas,480,
NADEL AND GUSSMAN LLC,Other Revenues,Oil & Gas,7453.14,
NADEL AND GUSSMAN LLC,Rents,Oil & Gas,20253.5,
NADEL AND GUSSMAN LLC,Royalties,Gas,369842.13,
NADEL AND GUSSMAN LLC,Royalties,Oil,45084.37,
NAFTEX HOLDINGS LTD,Rents,Oil & Gas,1600,
NAFTEX HOLDINGS LTD,Royalties,Oil,518808.98,
NATIONAL FUEL CORP,Other Revenues,Oil & Gas,5660.31,
NATIONAL FUEL CORP,Rents,Oil & Gas,1558,
NATIONAL FUEL CORP,Royalties,Gas,614229.32,
NATIONAL FUEL CORP,Royalties,Oil,6929.6,
NATIONAL FUEL GAS COMPANY,Other Revenues,Oil & Gas,23625.49,
NATIONAL FUEL GAS COMPANY,Royalties,Gas,491472.42,
NATIONAL FUEL GAS COMPANY,Royalties,Oil,2467572.16,
NATURAL GAS PROCESSING COMPANY,Royalties,Gas,7206.66,
NATURAL GAS PROCESSING COMPANY,Royalties,Oil,123400,
NATURAL SODA INC,Other Revenues,Sodium,7920,
NATURAL SODA INC,Rents,Sodium,-5280,
NATURAL SODA INC,Royalties,Other Commodities,1088703.02,
NEARBURG PRODUCING COMPANY,Other Revenues,Oil & Gas,355461.08,
NEARBURG PRODUCING COMPANY,Rents,Oil & Gas,36570,
NEARBURG PRODUCING COMPANY,Royalties,Gas,608593.98,
NEARBURG PRODUCING COMPANY,Royalties,Oil,1495043.8,
NERD GAS COMPANY LLC,Bonus,Oil & Gas,331760,
NERD GAS COMPANY LLC,Rents,Oil & Gas,296843,
NEW CENTURY PRODUCTION CO LLC,Bonus,Oil & Gas,1151150,
NEW CENTURY PRODUCTION CO LLC,Rents,Oil & Gas,5074.5,
NEW MEXICO SALT & MINERALS CORP,Royalties,Other Commodities,237945.68,
NEWFIELD EXPLORATION COMPANY,Bonus,Oil & Gas,4180,
NEWFIELD EXPLORATION COMPANY,Other Revenues,N/A,1934,
NEWFIELD EXPLORATION COMPANY,Other Revenues,Oil & Gas,1735895.84,
NEWFIELD EXPLORATION COMPANY,Rents,Oil & Gas,1758318,
NEWFIELD EXPLORATION COMPANY,Royalties,Gas,2599074.28,
NEWFIELD EXPLORATION COMPANY,Royalties,Oil,54286560.44,
NEXEN PETROLEUM USA INC,Inspection Fees,Oil & Gas,625700,
NEXEN PETROLEUM USA INC,Other Revenues,N/A,1177.39,
NEXEN PETROLEUM USA INC,Other Revenues,Oil & Gas,129358.33,
NEXEN PETROLEUM USA INC,Rents,Oil & Gas,3061830,
NEXEN PETROLEUM USA INC,Royalties,Gas,8632228.32,
NEXEN PETROLEUM USA INC,Royalties,Oil,21472527.9,
NGP ENERGY CAPITAL MANAGEMENT LLC,Other Revenues,N/A,872,
NGP ENERGY CAPITAL MANAGEMENT LLC,Other Revenues,Oil & Gas,-21001.7,
NGP ENERGY CAPITAL MANAGEMENT LLC,Rents,Oil & Gas,219470,
NGP ENERGY CAPITAL MANAGEMENT LLC,Royalties,Gas,795777.62,
NGP ENERGY CAPITAL MANAGEMENT LLC,Royalties,Oil,3718255.19,
NMT OIL COMPANY INC,Other Revenues,Oil & Gas,0,
NMT OIL COMPANY INC,Royalties,Gas,0,
NMT OIL COMPANY INC,Royalties,Oil,136555.07,
NOBLE ENERGY INC,Inspection Fees,Oil & Gas,213500,
NOBLE ENERGY INC,Other Revenues,N/A,754.56,
NOBLE ENERGY INC,Other Revenues,Oil & Gas,-1928660.08,
NOBLE ENERGY INC,Rents,Oil & Gas,4467818,
NOBLE ENERGY INC,Royalties,Gas,7128163.49,
NOBLE ENERGY INC,Royalties,Oil,88932503.85,
NOEX ENERGY INC,Other Revenues,Oil & Gas,-558329,
NOEX ENERGY INC,Royalties,Gas,427303.32,
NOEX ENERGY INC,Royalties,Oil,8905467.72,
NORDAQ ENERGY INC,Bonus,Oil & Gas,750700,
NORDAQ ENERGY INC,Rents,Oil & Gas,514431,
NORTH AMERICAN COAL CORP,Rents,Coal,21924,
NORTH AMERICAN COAL CORP,Royalties,Coal,617221.28,
NORTH FINN LLC,Other Revenues,Oil & Gas,-0.02,
NORTH FINN LLC,Rents,Oil & Gas,12717.5,
NORTH FINN LLC,Royalties,Gas,33576.96,
NORTH FINN LLC,Royalties,Oil,336714.12,
NORTHERN CA POWER AGENCY-GEOTHERMAL,Royalties,Geothermal,1711318,
NORTHSTAR OFFSHORE GROUP LLC,Bonus,Oil & Gas,1622721,
