Year	State	County	FIPS	Commodity	Product	Volume
2008	CO	Rio Blanco County	08103		Oil (bbl)	2890334.19
2006	CO	Rio Blanco County	08103		Oil (bbl)	2970648.34
2005	CO	Rio Blanco County	08103		Oil (bbl)	2974167.24
2009	CO	Rio Blanco County	08103		Coal (tons)	2993675
2013	CO	Moffat County	08081		Coal (tons)	3004099.08
2007	CO	Rio Blanco County	08103		Oil (bbl)	3035579.13
2014	CO	Las Animas County	08071		Gas (mcf)	3066334.01
2010	CO	Rio Blanco County	08103		Coal (tons)	3074981
2005	CO	Las Animas County	08071		Gas (mcf)	3081193.9
2013	CO	Rio Blanco County	08103		Coal (tons)	3093859.92
2010	CO	Delta County	08029		Coal (tons)	3116270.67
2010	CO	Moffat County	08081		Coal (tons)	3174890
2009	CO	Garfield County	08045		Gas (mcf)	3181171.74
2014	CO	San Miguel County	08113		Gas (mcf)	3217123.24
2008	CO	Rio Blanco County	08103		Coal (tons)	3242108
2005	CO	Archuleta County	08007		Gas (mcf)	3261806.51
2011	CO	Moffat County	08081		Coal (tons)	3328554
2013	CO	Delta County	08029		Coal (tons)	3335957.54
2013	CO	Las Animas County	08071		Gas (mcf)	3356607.45
2012	CO	Moffat County	08081		Coal (tons)	3360036
2009	CO	Delta County	08029		Coal (tons)	3374982.11
2010	CO	Garfield County	08045		Gas (mcf)	3436940.46
2013	CO	San Miguel County	08113		Gas (mcf)	3465118.56
2014	CO	Rio Blanco County	08103		Coal (tons)	3481849.05
2006	CO	Las Animas County	08071		Gas (mcf)	3572400.5
2012	CO	Las Animas County	08071		Gas (mcf)	3663905.07
2011	CO	Las Animas County	08071		Gas (mcf)	3706621.5
2011	CO	Delta County	08029		Coal (tons)	3713026.54
2011	CO	Rio Blanco County	08103		Coal (tons)	3729713
2010	CO	Las Animas County	08071		Gas (mcf)	3865966.64
2014	CO	Huerfano County	08055		Gas (mcf)	4037516.31
2007	CO	Las Animas County	08071		Gas (mcf)	4075809.04
2009	CO	Moffat County	08081		Coal (tons)	4158935
2009	CO	Las Animas County	08071		Gas (mcf)	4221540.56
2013	CO	Huerfano County	08055		Gas (mcf)	4342331.14
2012	CO	Huerfano County	08055		Gas (mcf)	4386155.7
2008	CO	Las Animas County	08071		Gas (mcf)	4492586.18
2012	CO	San Miguel County	08113		Gas (mcf)	4563276.42
2014	CO	Weld County	08123		Gas (mcf)	4612454.84
2006	CO	Delta County	08029		Coal (tons)	4893433.88
2012	CO	Delta County	08029		Coal (tons)	4964647.88
2011	CO	Huerfano County	08055		Gas (mcf)	4984314.93
2007	CO	Delta County	08029		Coal (tons)	5116763.46
2008	CO	Delta County	08029		Coal (tons)	5171524.27
2005	CO	Delta County	08029		Coal (tons)	5265388.14
2014	CO	Mesa County	08077		Gas (mcf)	5301092.9
2008	CO	Moffat County	08081		Coal (tons)	5371601
2010	CO	San Miguel County	08113		Gas (mcf)	5700832.87
2005	CO	Mesa County	08077		Gas (mcf)	5800416.31
2011	CO	San Miguel County	08113		Gas (mcf)	5861915.54
2013	CO	Gunnison County	08051		Coal (tons)	6045511.46
2010	CO	Huerfano County	08055		Gas (mcf)	6378267.72
2009	CO	Gunnison County	08051		Coal (tons)	6419159.89
2013	CO	Mesa County	08077		Gas (mcf)	6421955.67
