Company	Revenue Type	Commodity	Revenue	
BEARTOOTH OIL & GAS COMPANY	ONRR - Other Revenues	Oil & Gas	3681.37	
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Gas	123638.11	
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Oil	10010.04	
BEARTOOTH OIL & GAS COMPANY	ONRR/BLM - Rents	Oil & Gas	2252	
BEECHWOOD COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	128562.92	
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	N/A	729	
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	Oil & Gas	3113.5	
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Gas	332690.52	
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Oil	514050	
BENSON-MONTIN-GREER DRILLING CORP	ONRR/BLM - Rents	Oil & Gas	2773	
BENTONITE PERFORMANCE MINERALS LLC	BLM - Permit Fees	Locatable Minerals	198015	
BEOWAWE POWER LLC	ONRR - Royalties	Geothermal	121911.88	
BERKSHIRE HATHAWAY	ONRR - Royalties	Coal	16512871.49	
BERKSHIRE HATHAWAY	ONRR - Royalties	Geothermal	314181.28	
BERKSHIRE HATHAWAY	ONRR/BLM - Rents	Coal	95391	
BERRY PETROLEUM COMPANY	BLM - Permit Fees	Oil & Gas	484650	
BERRY PETROLEUM COMPANY	ONRR - Other Revenues	N/A	679	
BERRY PETROLEUM COMPANY	ONRR - Other Revenues	Oil & Gas	108776.67	
BERRY PETROLEUM COMPANY	ONRR - Royalties	Gas	601092.65	
BERRY PETROLEUM COMPANY	ONRR - Royalties	Oil	14624700.63	
BERRY PETROLEUM COMPANY	ONRR/BLM - Rents	Oil & Gas	22567.33	
BHP BILLITON LTD	BLM - Permit Fees	Locatable Minerals	439607	
BHP BILLITON LTD	ONRR - Civil Penalties	N/A	38100	
BHP BILLITON LTD	ONRR - Inspection Fees	Oil & Gas	323000	
BHP BILLITON LTD	ONRR - Other Revenues	N/A	796.92	
BHP BILLITON LTD	ONRR - Other Revenues	Oil & Gas	6808179	
BHP BILLITON LTD	ONRR - Royalties	Gas	7615439.5	
BHP BILLITON LTD	ONRR - Royalties	Oil	212576956.17	
BHP BILLITON LTD	ONRR/BLM - Bonus	Oil & Gas	5282860	
BHP BILLITON LTD	ONRR/BLM - Rents	Oil & Gas	11707877.5	
BIG SANDY INC	BLM - Permit Fees	Locatable Minerals	101897	
BILL BARRETT CORP	BLM - Permit Fees	Oil & Gas	559435	
BILL BARRETT CORP	ONRR - Other Revenues	Oil & Gas	328	
BISON OIL & GAS II LLC	BLM - Permit Fees	Mineral Materials	27.64	
BISON OIL & GAS II LLC	BLM - Permit Fees	Oil & Gas	108970	
BISON OIL & GAS II LLC	ONRR - Other Revenues	Oil & Gas	2694.92	
BISON OIL & GAS II LLC	ONRR - Royalties	Gas	14082.54	
BISON OIL & GAS II LLC	ONRR - Royalties	Oil	165503.38	
BISON OIL & GAS II LLC	ONRR/BLM - Rents	Oil & Gas	1883	
BLACK BEAR OIL CORP	BLM - Permit Fees	Oil & Gas	120	
BLACK BEAR OIL CORP	ONRR - Other Revenues	Oil & Gas	4552.8	
BLACK BEAR OIL CORP	ONRR - Royalties	Gas	38758.92	
BLACK BEAR OIL CORP	ONRR - Royalties	Oil	685519.29	
BLACK BEAR OIL CORP	ONRR/BLM - Rents	Oil & Gas	1841.5	
BLACK BUTTE COAL CO	ONRR - Royalties	Coal	3786111.18	
BLACK BUTTE COAL CO	ONRR/BLM - Bonus	Coal	347600	
BLACK BUTTE COAL CO	ONRR/BLM - Rents	Coal	7114.54	
BLACK BUTTE COAL CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	643732.88	
BLACK CASTLE MINING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	261270.95	
BLACK HILLS CORP	BLM - Permit Fees	Oil & Gas	215	
BLACK HILLS CORP	ONRR - Other Revenues	N/A	4131	
BLACK HILLS CORP	ONRR - Other Revenues	Oil & Gas	88698.94	
BLACK HILLS CORP	ONRR - Royalties	Coal	8208336.26	
BLACK HILLS CORP	ONRR - Royalties	Gas	1201770.8	
BLACK HILLS CORP	ONRR - Royalties	Oil	187317.57	
BLACK HILLS CORP	ONRR/BLM - Bonus	Oil & Gas	21000	
BLACK HILLS CORP	ONRR/BLM - Rents	Coal	10014	
BLACK HILLS CORP	ONRR/BLM - Rents	Oil & Gas	60833	
BLACK HILLS CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	1168942.72	
