year	volume	product	region	series_id	units
2009	137127322	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2008	157778087	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2007	153479515	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2006	152373615	Coal	WV	COAL.PRODUCTION.TOT-WV-TOT.A	short tons
2014	395665099	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2013	387923828	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2012	401441611	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2011	438673388	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2010	442522372	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2009	431106631	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2008	467644168	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2007	453568259	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
2006	446742253	Coal	WY	COAL.PRODUCTION.TOT-WY-TOT.A	short tons
