Year	State	Commodity	Type	Revenue
2005	MI	Oil	Royalties	137264.24
2005	MI	Hardrock	Rents	965.5
2005	MI	Oil & Gas	Other Revenues	1653.46
2005	MI	NGL	Royalties	64064.840000000004
2005	MI	Oil & Gas	Other Royalties	4050
2005	MN	Copper	Other Revenues	39165
2005	MN	Hardrock	Other Revenues	33825
2005	MN	Copper	Rents	-20220.5
2005	MN	Hardrock	Rents	-15068
2005	MO	Hardrock	Rents	155
2005	MS	Oil & Gas	Bonus	203986
2005	MS	Oil & Gas	Rents	535355.72
2005	MS	Oil	Royalties	1985758.0199999996
2005	MS	Oil & Gas	Other Revenues	-1145.25
2005	MS	Gas	Royalties	548881.5
2005	MS	Oil & Gas	Other Royalties	-3000
2005	MT	Phosphate	Rents	1409
2005	MT	Coal	Bonus	348040.01
2005	MT	Oil & Gas	Bonus	661251.5
2005	MT	Oil & Gas	Other Revenues	386033.3399999999
2005	MT	Coal	Other Royalties	1875000
2005	MT	Coal	Rents	132264
2005	MT	Oil & Gas	Rents	3365383.619999999
2005	MT	Gas	Royalties	20179252.78
2005	MT	Oil & Gas	Other Royalties	150462.59999999998
2005	MT	Oil	Royalties	19980966.939999998
2005	MT	NGL	Royalties	316364.23
2005	MT	Other Products	Royalties	1617.45
2005	MT	Coal	Royalties	30344606.52
2005	ND	Oil & Gas	Bonus	35196873
2005	ND	Oil & Gas	Other Revenues	8021.4400000000005
2005	ND	Oil & Gas	Other Royalties	296556.68
2005	ND	Oil & Gas	Rents	1080491.04
2005	ND	Gas	Royalties	5187918.930000001
2005	ND	NGL	Royalties	479619.16
2005	ND	Oil	Royalties	35718801.31999999
2005	ND	Other Products	Royalties	35.03
2005	ND	Coal	Bonus	10856
2005	ND	Coal	Rents	9624
2005	NE	Oil & Gas	Rents	14777.7
2005	NE	Oil & Gas	Other Revenues	21000.71
2005	NE	Oil	Royalties	209690.99
2005	NM	Oil & Gas	Bonus	56491100
2005	NM	Oil & Gas	Rents	3190282.0599999996
2005	NM	Gas	Royalties	670238684.15
2005	NM	Coal	Rents	-51645.01
2005	NM	Oil & Gas	Other Revenues	821372.86
2005	NM	Oil & Gas	Other Royalties	41157461.8
2005	NM	NGL	Royalties	93442934.5
2005	NM	Oil	Royalties	133603209.09000002
2005	NM	Geothermal	Rents	6560
2005	NM	Potassium	Other Revenues	225631
2005	NM	Gas	Other Royalties	3013.46
2005	NM	Potassium	Rents	8771.5
2005	NM	Sodium	Rents	1280
2005	NM	Other Products	Royalties	4807965.890000001
2005	NM	Coal	Bonus	2600000
2005	NV	Geothermal	Other Revenues	6904.74
2005	NV	Geothermal	Other Royalties	-22709
2005	NV	Geothermal	Rents	651661
2005	NV	Sodium	Rents	-19836
2005	NV	Geothermal	Royalties	4026916.7100000004
2005	NV	Oil & Gas	Bonus	3931478.25
2005	NV	Oil & Gas	Rents	4824446.6899999995
2005	NV	Sand & Gravel	Rents	-1280
2005	NV	Other Products	Royalties	-93331.52
2005	NV	Potassium	Rents	1160
2005	NV	Oil	Royalties	2158747.4699999997
2005	NV	Oil & Gas	Other Revenues	3715.22
2005	NV	Oil & Gas	Other Royalties	2811.28
2005	NY	Gas	Royalties	20149.719999999998
2005	OH	Gas	Royalties	542090.49
2005	OH	Oil	Royalties	124542.98000000001
2005	OH	Oil & Gas	Rents	12989.24
2005	OH	Oil & Gas	Other Revenues	4.03
2005	OH	Oil & Gas	Other Royalties	775
2005	OK	Oil & Gas	Other Revenues	5287.610000000001
2005	OK	Oil & Gas	Other Royalties	161799.93999999997
2005	OK	Oil & Gas	Rents	188757.51
2005	OK	Gas	Royalties	9376499.879999999
2005	OK	Oil	Royalties	741031.98
2005	OK	Oil & Gas	Bonus	1845964
2005	OK	NGL	Royalties	181266.4
2005	OK	Coal	Rents	41994
2005	OK	Coal	Other Revenues	-21293.25
2005	OK	Coal	Royalties	285375.6
2005	OR	Oil & Gas	Rents	52178.5
2005	PA	Oil & Gas	Other Revenues	19834.710000000003
2005	PA	Gas	Royalties	54358.31999999999
2005	SC	Hardrock	Rents	1110
2005	SD	Oil & Gas	Bonus	62485
2005	SD	Oil & Gas	Rents	152240.5
2005	SD	Oil & Gas	Other Royalties	-14422.24
2005	SD	Oil	Royalties	1135530.03
2005	SD	Gas	Royalties	144649.92
2005	TX	Oil & Gas	Other Revenues	23718.34
2005	TX	Oil & Gas	Rents	497491.4600000001
2005	TX	Oil	Royalties	2714384.770000001
2005	TX	Gas	Royalties	20488349.889999997
2005	TX	Oil & Gas	Bonus	12577020
2005	TX	Oil & Gas	Other Royalties	713955.23
2005	TX	NGL	Royalties	182088.72999999998
2005	UT	Geothermal	Other Revenues	3100.33
2005	UT	Geothermal	Royalties	255075.74
2005	UT	Hardrock	Other Revenues	1920
2005	UT	Hardrock	Rents	1847
2005	UT	Coal	Bonus	3701620
2005	UT	Oil & Gas	Bonus	8403186.25
2005	UT	Oil & Gas	Other Revenues	612355.63
2005	UT	Oil & Gas	Other Royalties	3405088.86
2005	UT	Coal	Rents	-58941.80999999998
2005	UT	Oil & Gas	Rents	4248362.510000001
2005	UT	Gas	Royalties	127944939.14999999
2005	UT	Oil	Royalties	32117107.44
2005	UT	Tar Sands	Rents	12190
2005	UT	NGL	Royalties	1698273.92
2005	UT	Coal	Royalties	27352945.43
2005	UT	Potassium	Other Revenues	34259.369999999995
2005	UT	Potassium	Rents	27445
2005	UT	Geothermal	Rents	229
2005	UT	Clay	Rents	468
2005	UT	Phosphate	Other Revenues	22422
2005	UT	Gilsonite	Rents	1922
2005	UT	Phosphate	Rents	-6634
2005	UT	Other Products	Royalties	455153.81
2005	VA	Oil & Gas	Other Revenues	5365.22
2005	VA	Oil & Gas	Rents	12494
2005	VA	Gas	Royalties	572724.96
2005	WA	Oil & Gas	Rents	869914.5
2005	WA	Oil & Gas	Bonus	71800
2005	WA	Coal	Rents	2292
2005	WV	Oil & Gas	Other Revenues	214274.99
2005	WV	Gas	Royalties	920338.81
2005	WV	Oil & Gas	Rents	-11386.980000000003
2005	WV	Oil	Royalties	263.2
2005	WV	Oil & Gas	Other Royalties	100
2005	WY	Oil & Gas	Other Revenues	417766.18999999994
2005	WY	Oil & Gas	Other Royalties	34452000.56
2005	WY	Oil & Gas	Rents	17960492.47
2005	WY	Gas	Royalties	855590939.9699999
2005	WY	Oil	Royalties	139160355.27
2005	WY	Oil & Gas	Bonus	45349122.010000005
2005	WY	NGL	Royalties	21019962.7
2005	WY	Coal	Bonus	424069468.26
2005	WY	Coal	Other Revenues	-1060744.969999999
2005	WY	Gas	Other Royalties	152510
2005	WY	Coal	Rents	528459.6
2005	WY	Coal	Royalties	343368386.21999997
2005	WY	Oil	Other Royalties	18.35
