Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	Production Volume	Onshore/Offshore	Category	
2008	Oil (bbl)	Offshore Alaska		Beaufort Sea	2,985,742	Offshore	Federal	
2008	Gas (mcf)	Offshore Gulf		Central Gulf of Mexico	1,707,955,927	Offshore	Federal	
2008	Gas (mcf)	Offshore Gulf		Eastern Gulf of Mexico	139,073,831	Offshore	Federal	
2008	Gas (mcf)	Offshore Gulf		Western Gulf of Mexico	483,303,871	Offshore	Federal	
2008	Oil (bbl)	Offshore Gulf		Central Gulf of Mexico	374,281,105	Offshore	Federal	
2008	Oil (bbl)	Offshore Gulf		Eastern Gulf of Mexico	40,802	Offshore	Federal	
2008	Oil (bbl)	Offshore Gulf		Western Gulf of Mexico	49,016,410	Offshore	Federal	
2008	Gas (mcf)	Offshore Pacific		Southern California	46,922,654	Offshore	Federal	
2008	Oil (bbl)	Offshore Pacific		Southern California	24,031,880	Offshore	Federal	
2008	Gas (mcf)	OH	39009	Athens County	1,663	Onshore	Federal	
2008	Gas (mcf)	OH	39087	Lawrence County	8,585	Onshore	Federal	
2008	Gas (mcf)	OH	39099	Mahoning County	68,983	Onshore	Federal	
2008	Gas (mcf)	OH	39111	Monroe County	11,437	Onshore	Federal	
2008	Gas (mcf)	OH	39119	Muskingum County	6,645	Onshore	Federal	
2008	Gas (mcf)	OH	39127	Perry County	3,052	Onshore	Federal	
2008	Gas (mcf)	OH	39133	Portage County	188,807	Onshore	Federal	
2008	Gas (mcf)	OH	39151	Stark County	27,195	Onshore	Federal	
2008	Gas (mcf)	OH	39155	Trumbull County	156,500	Onshore	Federal	
2008	Gas (mcf)	OH	39167	Washington County	34,359	Onshore	Federal	
2008	Oil (bbl)	OH	39073	Hocking County	1,789	Onshore	Federal	
2008	Oil (bbl)	OH	39089	Licking County	286	Onshore	Federal	
2008	Oil (bbl)	OH	39099	Mahoning County	3,701	Onshore	Federal	
2008	Oil (bbl)	OH	39111	Monroe County	876	Onshore	Federal	
2008	Oil (bbl)	OH	39119	Muskingum County	383	Onshore	Federal	
2008	Oil (bbl)	OH	39127	Perry County	266	Onshore	Federal	
2008	Oil (bbl)	OH	39133	Portage County	10,969	Onshore	Federal	
2008	Oil (bbl)	OH	39151	Stark County	357	Onshore	Federal	
2008	Oil (bbl)	OH	39155	Trumbull County	498	Onshore	Federal	
2008	Oil (bbl)	OH	39167	Washington County	1,901	Onshore	Federal	
2008	Coal (tons)	OK	40079	Le Flore County	664,925	Onshore	Federal	
2008	Gas (mcf)	OK	40003	Alfalfa County	195,000	Onshore	Federal	
2008	Gas (mcf)	OK	40005	Atoka County	23,641	Onshore	Federal	
2008	Gas (mcf)	OK	40007	Beaver County	139,555	Onshore	Federal	
2008	Gas (mcf)	OK	40009	Beckham County	792,801	Onshore	Federal	
2008	Gas (mcf)	OK	40011	Blaine County	339,256	Onshore	Federal	
2008	Gas (mcf)	OK	40015	Caddo County	12,471	Onshore	Federal	
2008	Gas (mcf)	OK	40017	Canadian County	232,860	Onshore	Federal	
2008	Gas (mcf)	OK	40029	Coal County	1,531,410	Onshore	Federal	
2008	Gas (mcf)	OK	40037	Creek County	28	Onshore	Federal	
2008	Gas (mcf)	OK	40039	Custer County	300,818	Onshore	Federal	
2008	Gas (mcf)	OK	40043	Dewey County	494,109	Onshore	Federal	
