Month,Calendar Year,Land Class,Land Category,Commodity, Volume 
December,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,561,231 "
December,2010,Federal,Onshore,Gas Prod Vol (mcf)," 332,070,001 "
December,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,183,884 "
December,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,832,658 "
December,2010,Native American,Onshore,Gas Prod Vol (mcf)," 26,113,209 "
December,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,627,137 "
January,2011,Federal,Offshore,Gas Prod Vol (mcf)," 185,255,392 "
January,2011,Federal,Offshore,Oil Prod Vol (bbl)," 50,133,616 "
January,2011,Federal,Onshore,Coal Prod Vol (ton)," 39,876,734 "
January,2011,Federal,Onshore,Gas Prod Vol (mcf)," 318,850,146 "
January,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,146,041 "
January,2011,Native American,Onshore,Coal Prod Vol (ton)," 2,253,425 "
January,2011,Native American,Onshore,Gas Prod Vol (mcf)," 24,918,816 "
January,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,636,555 "
February,2011,Federal,Offshore,Gas Prod Vol (mcf)," 158,513,541 "
February,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,099,196 "
February,2011,Federal,Onshore,Coal Prod Vol (ton)," 33,558,869 "
February,2011,Federal,Onshore,Gas Prod Vol (mcf)," 287,392,450 "
February,2011,Federal,Onshore,Oil Prod Vol (bbl)," 8,116,611 "
February,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,494,323 "
February,2011,Native American,Onshore,Gas Prod Vol (mcf)," 23,117,078 "
February,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,507,999 "
March,2011,Federal,Offshore,Gas Prod Vol (mcf)," 175,605,933 "
March,2011,Federal,Offshore,Oil Prod Vol (bbl)," 44,887,140 "
March,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,399,121 "
March,2011,Federal,Onshore,Gas Prod Vol (mcf)," 325,015,988 "
March,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,492,101 "
March,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,772,654 "
March,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,360,266 "
March,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,744,267 "
April,2011,Federal,Offshore,Gas Prod Vol (mcf)," 167,609,936 "
April,2011,Federal,Offshore,Oil Prod Vol (bbl)," 42,223,263 "
April,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,740,772 "
April,2011,Federal,Onshore,Gas Prod Vol (mcf)," 318,088,455 "
April,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,323,222 "
April,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,684,420 "
April,2011,Native American,Onshore,Gas Prod Vol (mcf)," 24,715,214 "
April,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,766,420 "
May,2011,Federal,Offshore,Gas Prod Vol (mcf)," 169,731,951 "
May,2011,Federal,Offshore,Oil Prod Vol (bbl)," 44,365,958 "
May,2011,Federal,Onshore,Coal Prod Vol (ton)," 36,119,047 "
May,2011,Federal,Onshore,Gas Prod Vol (mcf)," 327,718,711 "
May,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,686,105 "
May,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,936,675 "
May,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,621,373 "
May,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,887,132 "
June,2011,Federal,Offshore,Gas Prod Vol (mcf)," 156,185,180 "
June,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,593,383 "
June,2011,Federal,Onshore,Coal Prod Vol (ton)," 33,705,453 "
June,2011,Federal,Onshore,Gas Prod Vol (mcf)," 314,960,146 "
June,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,361,056 "
June,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,973,047 "
June,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,324,766 "
June,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,935,098 "
July,2011,Federal,Offshore,Gas Prod Vol (mcf)," 154,202,603 "
July,2011,Federal,Offshore,Oil Prod Vol (bbl)," 39,509,058 "
July,2011,Federal,Onshore,Coal Prod Vol (ton)," 32,683,729 "
July,2011,Federal,Onshore,Gas Prod Vol (mcf)," 328,130,851 "
July,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,757,479 "
July,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,889,907 "
July,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,285,484 "
July,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,047,482 "
August,2011,Federal,Offshore,Gas Prod Vol (mcf)," 156,708,273 "
August,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,368,267 "
August,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,915,804 "
August,2011,Federal,Onshore,Gas Prod Vol (mcf)," 310,498,696 "
